district,reg_voters,total_votes,total_votes_percent,valid_votes,received_station,received_station_total,candidate,candidate_votes,candidate_votes_percent
ABIM,36539,24463,66.95,23588,105,105,AMURIAT OBOI PATRICK,433,1.84
ABIM,36539,24463,66.95,23588,105,105,KABULETA KIIZA JOSEPH,71,0.3
ABIM,36539,24463,66.95,23588,105,105,KALEMBE NANCY LINDA,66,0.28
ABIM,36539,24463,66.95,23588,105,105,KATUMBA JOHN,179,0.76
ABIM,36539,24463,66.95,23588,105,105,KYAGULANYI SSENTAMU ROBERT,3956,16.77
ABIM,36539,24463,66.95,23588,105,105,MAO NORBERT,395,1.67
ABIM,36539,24463,66.95,23588,105,105,MAYAMBALA WILLY,35,0.15
ABIM,36539,24463,66.95,23588,105,105,MUGISHA MUNTU GREGG,63,0.27
ABIM,36539,24463,66.95,23588,105,105,MWESIGYE FRED,41,0.17
ABIM,36539,24463,66.95,23588,105,105,TUMUKUNDE HENRY KAKURUGU,95,0.4
ABIM,36539,24463,66.95,23588,105,105,YOWERI MUSEVENI TIBUHABURWA KAGUTA,18254,77.39
ABIM,36539,24463,66.95,23588,105,105,Invalid Votes,875,3.58
ADJUMANI,79364,48961,61.69,46421,142,142,AMURIAT OBOI PATRICK,1179,2.54
ADJUMANI,79364,48961,61.69,46421,142,142,KABULETA KIIZA JOSEPH,710,1.53
ADJUMANI,79364,48961,61.69,46421,142,142,KALEMBE NANCY LINDA,325,0.7
ADJUMANI,79364,48961,61.69,46421,142,142,KATUMBA JOHN,198,0.43
ADJUMANI,79364,48961,61.69,46421,142,142,KYAGULANYI SSENTAMU ROBERT,7866,16.94
ADJUMANI,79364,48961,61.69,46421,142,142,MAO NORBERT,225,0.48
ADJUMANI,79364,48961,61.69,46421,142,142,MAYAMBALA WILLY,81,0.17
ADJUMANI,79364,48961,61.69,46421,142,142,MUGISHA MUNTU GREGG,264,0.57
ADJUMANI,79364,48961,61.69,46421,142,142,MWESIGYE FRED,183,0.39
ADJUMANI,79364,48961,61.69,46421,142,142,TUMUKUNDE HENRY KAKURUGU,265,0.57
ADJUMANI,79364,48961,61.69,46421,142,142,YOWERI MUSEVENI TIBUHABURWA KAGUTA,35125,75.67
ADJUMANI,79364,48961,61.69,46421,142,142,Invalid Votes,2540,5.19
AGAGO,98354,66533,67.65,63961,211,211,AMURIAT OBOI PATRICK,1595,2.49
AGAGO,98354,66533,67.65,63961,211,211,KABULETA KIIZA JOSEPH,337,0.53
AGAGO,98354,66533,67.65,63961,211,211,KALEMBE NANCY LINDA,299,0.47
AGAGO,98354,66533,67.65,63961,211,211,KATUMBA JOHN,202,0.32
AGAGO,98354,66533,67.65,63961,211,211,KYAGULANYI SSENTAMU ROBERT,10559,16.51
AGAGO,98354,66533,67.65,63961,211,211,MAO NORBERT,1834,2.87
AGAGO,98354,66533,67.65,63961,211,211,MAYAMBALA WILLY,243,0.38
AGAGO,98354,66533,67.65,63961,211,211,MUGISHA MUNTU GREGG,407,0.64
AGAGO,98354,66533,67.65,63961,211,211,MWESIGYE FRED,356,0.56
AGAGO,98354,66533,67.65,63961,211,211,TUMUKUNDE HENRY KAKURUGU,433,0.68
AGAGO,98354,66533,67.65,63961,211,211,YOWERI MUSEVENI TIBUHABURWA KAGUTA,47696,74.57
AGAGO,98354,66533,67.65,63961,211,211,Invalid Votes,2572,3.87
ALEBTONG,115804,68827,59.43,65620,248,248,AMURIAT OBOI PATRICK,1920,2.93
ALEBTONG,115804,68827,59.43,65620,248,248,KABULETA KIIZA JOSEPH,604,0.92
ALEBTONG,115804,68827,59.43,65620,248,248,KALEMBE NANCY LINDA,425,0.65
ALEBTONG,115804,68827,59.43,65620,248,248,KATUMBA JOHN,297,0.45
ALEBTONG,115804,68827,59.43,65620,248,248,KYAGULANYI SSENTAMU ROBERT,16794,25.59
ALEBTONG,115804,68827,59.43,65620,248,248,MAO NORBERT,446,0.68
ALEBTONG,115804,68827,59.43,65620,248,248,MAYAMBALA WILLY,419,0.64
ALEBTONG,115804,68827,59.43,65620,248,248,MUGISHA MUNTU GREGG,634,0.97
ALEBTONG,115804,68827,59.43,65620,248,248,MWESIGYE FRED,389,0.59
ALEBTONG,115804,68827,59.43,65620,248,248,TUMUKUNDE HENRY KAKURUGU,860,1.31
ALEBTONG,115804,68827,59.43,65620,248,248,YOWERI MUSEVENI TIBUHABURWA KAGUTA,42832,65.27
ALEBTONG,115804,68827,59.43,65620,248,248,Invalid Votes,3207,4.66
AMOLATAR,71173,53184,74.72,51276,183,183,AMURIAT OBOI PATRICK,3349,6.53
AMOLATAR,71173,53184,74.72,51276,183,183,KABULETA KIIZA JOSEPH,218,0.43
AMOLATAR,71173,53184,74.72,51276,183,183,KALEMBE NANCY LINDA,240,0.47
AMOLATAR,71173,53184,74.72,51276,183,183,KATUMBA JOHN,260,0.51
AMOLATAR,71173,53184,74.72,51276,183,183,KYAGULANYI SSENTAMU ROBERT,7185,14.01
AMOLATAR,71173,53184,74.72,51276,183,183,MAO NORBERT,206,0.4
AMOLATAR,71173,53184,74.72,51276,183,183,MAYAMBALA WILLY,134,0.26
AMOLATAR,71173,53184,74.72,51276,183,183,MUGISHA MUNTU GREGG,310,0.6
AMOLATAR,71173,53184,74.72,51276,183,183,MWESIGYE FRED,289,0.56
AMOLATAR,71173,53184,74.72,51276,183,183,TUMUKUNDE HENRY KAKURUGU,466,0.91
AMOLATAR,71173,53184,74.72,51276,183,183,YOWERI MUSEVENI TIBUHABURWA KAGUTA,38619,75.32
AMOLATAR,71173,53184,74.72,51276,183,183,Invalid Votes,1908,3.59
AMUDAT,43647,31453,72.06,31207,120,120,AMURIAT OBOI PATRICK,47,0.15
AMUDAT,43647,31453,72.06,31207,120,120,KABULETA KIIZA JOSEPH,4,0.01
AMUDAT,43647,31453,72.06,31207,120,120,KALEMBE NANCY LINDA,6,0.02
AMUDAT,43647,31453,72.06,31207,120,120,KATUMBA JOHN,6,0.02
AMUDAT,43647,31453,72.06,31207,120,120,KYAGULANYI SSENTAMU ROBERT,625,2
AMUDAT,43647,31453,72.06,31207,120,120,MAO NORBERT,7,0.02
AMUDAT,43647,31453,72.06,31207,120,120,MAYAMBALA WILLY,4,0.01
AMUDAT,43647,31453,72.06,31207,120,120,MUGISHA MUNTU GREGG,10,0.03
AMUDAT,43647,31453,72.06,31207,120,120,MWESIGYE FRED,20,0.06
AMUDAT,43647,31453,72.06,31207,120,120,TUMUKUNDE HENRY KAKURUGU,27,0.09
AMUDAT,43647,31453,72.06,31207,120,120,YOWERI MUSEVENI TIBUHABURWA KAGUTA,30451,97.58
AMUDAT,43647,31453,72.06,31207,120,120,Invalid Votes,246,0.78
AMURIA,88722,58752,66.22,56536,215,215,AMURIAT OBOI PATRICK,16637,29.43
AMURIA,88722,58752,66.22,56536,215,215,KABULETA KIIZA JOSEPH,319,0.56
AMURIA,88722,58752,66.22,56536,215,215,KALEMBE NANCY LINDA,214,0.38
AMURIA,88722,58752,66.22,56536,215,215,KATUMBA JOHN,115,0.2
AMURIA,88722,58752,66.22,56536,215,215,KYAGULANYI SSENTAMU ROBERT,3380,5.98
AMURIA,88722,58752,66.22,56536,215,215,MAO NORBERT,215,0.38
AMURIA,88722,58752,66.22,56536,215,215,MAYAMBALA WILLY,108,0.19
AMURIA,88722,58752,66.22,56536,215,215,MUGISHA MUNTU GREGG,278,0.49
AMURIA,88722,58752,66.22,56536,215,215,MWESIGYE FRED,219,0.39
AMURIA,88722,58752,66.22,56536,215,215,TUMUKUNDE HENRY KAKURUGU,385,0.68
AMURIA,88722,58752,66.22,56536,215,215,YOWERI MUSEVENI TIBUHABURWA KAGUTA,34666,61.32
AMURIA,88722,58752,66.22,56536,215,215,Invalid Votes,2216,3.77
AMURU,87122,38121,43.76,35018,170,170,AMURIAT OBOI PATRICK,3825,10.92
AMURU,87122,38121,43.76,35018,170,170,KABULETA KIIZA JOSEPH,476,1.36
AMURU,87122,38121,43.76,35018,170,170,KALEMBE NANCY LINDA,267,0.76
AMURU,87122,38121,43.76,35018,170,170,KATUMBA JOHN,238,0.68
AMURU,87122,38121,43.76,35018,170,170,KYAGULANYI SSENTAMU ROBERT,7466,21.32
AMURU,87122,38121,43.76,35018,170,170,MAO NORBERT,2334,6.67
AMURU,87122,38121,43.76,35018,170,170,MAYAMBALA WILLY,381,1.09
AMURU,87122,38121,43.76,35018,170,170,MUGISHA MUNTU GREGG,492,1.4
AMURU,87122,38121,43.76,35018,170,170,MWESIGYE FRED,321,0.92
AMURU,87122,38121,43.76,35018,170,170,TUMUKUNDE HENRY KAKURUGU,476,1.36
AMURU,87122,38121,43.76,35018,170,170,YOWERI MUSEVENI TIBUHABURWA KAGUTA,18742,53.52
AMURU,87122,38121,43.76,35018,170,170,Invalid Votes,3103,8.14
APAC,88834,55413,62.38,52252,179,179,AMURIAT OBOI PATRICK,1483,2.84
APAC,88834,55413,62.38,52252,179,179,KABULETA KIIZA JOSEPH,277,0.53
APAC,88834,55413,62.38,52252,179,179,KALEMBE NANCY LINDA,263,0.5
APAC,88834,55413,62.38,52252,179,179,KATUMBA JOHN,246,0.47
APAC,88834,55413,62.38,52252,179,179,KYAGULANYI SSENTAMU ROBERT,16485,31.55
APAC,88834,55413,62.38,52252,179,179,MAO NORBERT,310,0.59
APAC,88834,55413,62.38,52252,179,179,MAYAMBALA WILLY,117,0.22
APAC,88834,55413,62.38,52252,179,179,MUGISHA MUNTU GREGG,326,0.62
APAC,88834,55413,62.38,52252,179,179,MWESIGYE FRED,300,0.57
APAC,88834,55413,62.38,52252,179,179,TUMUKUNDE HENRY KAKURUGU,537,1.03
APAC,88834,55413,62.38,52252,179,179,YOWERI MUSEVENI TIBUHABURWA KAGUTA,31908,61.07
APAC,88834,55413,62.38,52252,179,179,Invalid Votes,3161,5.7
ARUA,65738,36067,54.86,33804,111,111,AMURIAT OBOI PATRICK,491,1.45
ARUA,65738,36067,54.86,33804,111,111,KABULETA KIIZA JOSEPH,180,0.53
ARUA,65738,36067,54.86,33804,111,111,KALEMBE NANCY LINDA,207,0.61
ARUA,65738,36067,54.86,33804,111,111,KATUMBA JOHN,111,0.33
ARUA,65738,36067,54.86,33804,111,111,KYAGULANYI SSENTAMU ROBERT,7966,23.57
ARUA,65738,36067,54.86,33804,111,111,MAO NORBERT,240,0.71
ARUA,65738,36067,54.86,33804,111,111,MAYAMBALA WILLY,85,0.25
ARUA,65738,36067,54.86,33804,111,111,MUGISHA MUNTU GREGG,271,0.8
ARUA,65738,36067,54.86,33804,111,111,MWESIGYE FRED,197,0.58
ARUA,65738,36067,54.86,33804,111,111,TUMUKUNDE HENRY KAKURUGU,232,0.69
ARUA,65738,36067,54.86,33804,111,111,YOWERI MUSEVENI TIBUHABURWA KAGUTA,23824,70.48
ARUA,65738,36067,54.86,33804,111,111,Invalid Votes,2263,6.27
ARUA CITY,170066,77968,45.85,73323,289,289,AMURIAT OBOI PATRICK,1107,1.51
ARUA CITY,170066,77968,45.85,73323,289,289,KABULETA KIIZA JOSEPH,705,0.96
ARUA CITY,170066,77968,45.85,73323,289,289,KALEMBE NANCY LINDA,522,0.71
ARUA CITY,170066,77968,45.85,73323,289,289,KATUMBA JOHN,348,0.47
