district,reg_voters,total_votes,received_station,total_votes_percent,received_station_total
APAC,88834,55413,179,62.38,179
ARUA,65738,36067,111,54.86,111
BUNDIBUGYO,113472,73918,297,65.14,298
BUSHENYI,140415,87415,258,62.25,258
GULU,45342,21894,92,48.29,92
HOIMA,90617,55703,173,61.47,173
IGANGA,186519,97320,323,52.18,323
JINJA,120278,65476,227,54.44,229
KABALE,136559,91024,256,66.66,256
KABAROLE,107428,65479,207,60.95,207
KALANGALA,35465,19741,90,55.66,90
KAMPALA,1280409,550604,1400,43,1423
KAMULI,236917,133730,456,56.45,456
KAPCHORWA,56051,40487,143,72.23,143
KASESE,384058,234004,684,60.93,684
KIBAALE,68857,43721,156,63.5,156
KIBOGA,81434,50629,171,62.17,171
KISORO,158552,112014,320,70.65,320
KITGUM,99234,55439,198,55.87,198
KOTIDO,61086,43688,153,71.52,154
KUMI,119112,70723,215,59.38,215
LIRA,103180,63486,175,61.53,175
LUWERO,257115,151964,471,59.1,471
MASAKA,55626,36148,95,64.98,95
MASINDI,154805,86541,269,55.9,269
MBALE,108400,71304,240,65.78,240
MBARARA,84209,58055,159,68.94,159
MOROTO,38004,26658,99,70.15,99
MOYO,45367,26034,81,57.39,81
MPIGI,135726,86944,245,64.06,245
MUBENDE,196565,120287,383,61.19,383
MUKONO,355275,191329,602,53.85,619
NEBBI,130508,72642,241,55.66,241
NTUNGAMO,268541,190770,481,71.04,481
PALLISA,131370,86834,277,66.1,277
RAKAI,135169,84961,223,62.86,226
RUKUNGIRI,185118,112443,404,60.74,404
SOROTI,92720,65310,171,70.44,173
TORORO,268434,160295,481,59.71,481
ADJUMANI,79364,48961,142,61.69,142
BUGIRI,193053,104875,371,54.32,371
BUSIA,163571,100883,284,61.68,284
KATAKWI,83162,56246,193,67.63,193
NAKASONGOLA,89647,57372,193,64,193
SSEMBABULE,132240,82054,271,62.05,286
KAMWENGE,117466,91749,250,78.11,250
KAYUNGA,190977,107010,338,56.03,338
KYENJOJO,215012,133999,459,62.32,459
MAYUGE,231116,122114,437,52.84,437
PADER,82298,47632,215,57.88,215
SIRONKO,132465,81898,390,61.83,391
WAKISO,1154857,574018,1433,49.7,1434
YUMBE,113855,75225,335,66.07,335
KABERAMAIDO,52210,34278,95,65.65,95
KANUNGU,146064,88295,309,60.45,309
NAKAPIRIPIRIT,32661,24490,78,74.98,78
AMOLATAR,71173,53184,183,74.72,183
AMURIA,88722,58752,215,66.22,215
BUKWO,44126,32895,140,74.55,140
BUTALEJA,110737,71244,204,64.34,204
IBANDA,140486,90801,280,64.63,280
ISINGIRO,233099,203130,508,87.14,509
KAABONG,41211,33005,136,80.09,136
KALIRO,109466,70504,259,64.41,259
KIRUHURA,81891,76743,189,93.71,189
KOBOKO,92845,50839,190,54.76,190
MANAFWA,79924,50977,211,63.78,211
MITYANA,176029,116133,337,65.97,337
NAKASEKE,107133,73925,253,69,253
